1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX 3C XX XX 3F
4A XX XX 4D 4E 4F
XX 5B 5C 5D 5E 5F
6A XX 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A XX 9C 9D 9E 9F
XX 10B 10C 10D 10E 10F
XX XX 11C 11D 11E XX
12A XX 12C 12D 12E 12F
13A 13B XX 13D XX 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
16A XX XX 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX XX 19D 19E XX
20A 20B 20C XX 20E 20F
21A 21B 21C XX XX 21F
22A 22B 22C 22D 22E XX
23A 23B XX 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C XX XX 25F
26A 26B 26C 26D 26E 26F
27A XX 27C XX 27E 27F
28A 28B XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
