XX 1 B 1 C 1 D XX 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B XX XX 3 E 3 F 
XX 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C XX 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
XX 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E XX 
9 A XX 9 C XX 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B XX XX 11E 11F 
12A 12B 12C XX 12E XX 
13A 13B 13C 13D XX XX 
XX 14B 14C 14D 14E 14F 
15A 15B 15C XX 15E 15F 
16A 16B 16C 16D 16E 16F 
17A XX XX XX 17E 17F 
XX 18B 18C 18D 18E 18F 
19A XX 19C 19D 19E XX 
20A 20B 20C 20D 20E 20F 
21A XX 21C XX 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C XX 23E 23F 
XX 24B 24C 24D XX 24F 
25A XX 25C 25D 25E 25F 
XX 26B 26C 26D XX 26F 
27A 27B 27C XX 27E 27F 
28A 28B 28C 28D 28E XX 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E XX 
