1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A XX XX 6D 6E XX
7A 7B 7C 7D 7E XX
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D XX 9F
10A 10B 10C XX 10E 10F
11A XX XX 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C XX 13E 13F
14A 14B 14C 14D 14E XX
15A 15B 15C 15D 15E XX
XX XX 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A XX 18C 18D 18E XX
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E XX
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B XX 26D 26E XX
XX 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C 29D 29E 29F
30A 30B 30C 30D XX 30F
