1 A XX 1 C 1 D 1 E 1 F 
XX 2 B 2 C 2 D 2 E 2 F 
3 A 3 B XX 3 D 3 E 3 F 
XX XX 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A XX 6 C 6 D 6 E 6 F 
7 A 7 B 7 C XX 7 E 7 F 
8 A 8 B 8 C XX 8 E 8 F 
9 A 9 B 9 C XX 9 E XX 
10A 10B 10C 10D 10E 10F 
11A 11B XX 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A XX 13C 13D 13E 13F 
XX 14B 14C 14D 14E 14F 
15A 15B 15C 15D 15E XX 
16A 16B XX XX 16E 16F 
XX 17B 17C 17D 17E XX 
18A 18B 18C XX XX 18F 
19A 19B XX XX 19E 19F 
20A 20B 20C 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
XX 25B 25C 25D XX XX 
26A XX 26C 26D 26E 26F 
27A XX 27C XX 27E 27F 
XX 28B 28C XX 28E 28F 
29A 29B 29C 29D 29E XX 
XX 30B XX 30D XX 30F 
