1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX XX 3C 3D 3E 3F
XX 4B 4C 4D 4E 4F
5A XX 5C 5D 5E 5F
6A 6B 6C XX 6E XX
7A 7B 7C XX 7E 7F
8A 8B XX 8D 8E XX
XX 9B XX 9D 9E 9F
XX 10B XX 10D 10E 10F
XX 11B 11C 11D 11E 11F
12A 12B 12C XX 12E 12F
XX 13B 13C XX 13E 13F
14A XX XX XX 14E 14F
15A 15B 15C XX 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E XX
18A 18B 18C 18D 18E 18F
19A XX XX 19D XX XX
20A XX 20C 20D XX 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B XX 26D 26E 26F
27A 27B XX 27D 27E XX
28A 28B 28C 28D 28E 28F
29A 29B XX 29D XX 29F
30A 30B 30C 30D 30E 30F
