1A 1B 1C 1D 1E 1F
XX 2B 2C 2D XX 2F
3A XX XX 3D XX 3F
4A 4B 4C 4D 4E 4F
5A XX 5C 5D XX XX
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D XX 10F
11A XX 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A XX 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
XX 16B XX 16D 16E XX
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E XX
19A XX 19C XX 19E 19F
XX 20B 20C XX 20E 20F
21A 21B 21C XX XX 21F
22A 22B XX 22D XX 22F
23A 23B 23C XX 23E XX
24A 24B 24C 24D 24E 24F
25A 25B 25C XX 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C XX 28E XX
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E XX
