1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
XX 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
XX XX 5C 5D XX XX
XX 6B 6C XX 6E 6F
7A XX XX 7D 7E 7F
8A XX 8C 8D 8E 8F
9A 9B XX 9D 9E XX
10A 10B 10C 10D 10E 10F
11A XX 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D XX XX
14A 14B 14C 14D 14E 14F
15A 15B XX XX 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B XX XX 18E XX
19A 19B 19C 19D XX 19F
20A 20B XX 20D 20E XX
21A 21B XX 21D 21E 21F
22A 22B XX 22D XX 22F
23A 23B 23C XX XX 23F
24A 24B 24C 24D 24E 24F
25A XX 25C 25D XX 25F
26A XX 26C 26D 26E 26F
27A 27B 27C XX 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
XX 30B 30C XX 30E XX
