1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C XX 2 E XX 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E XX 
6 A XX 6 C XX 6 E 6 F 
XX 7 B 7 C XX 7 E 7 F 
8 A XX 8 C 8 D 8 E 8 F 
XX 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
XX 11B 11C 11D 11E 11F 
12A 12B 12C 12D XX 12F 
13A 13B 13C 13D 13E XX 
14A 14B 14C 14D 14E 14F 
15A 15B XX 15D 15E 15F 
16A XX XX 16D 16E XX 
XX 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A 20B XX 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
22A 22B XX 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D 26E XX 
XX 27B XX 27D 27E 27F 
28A 28B 28C 28D XX 28F 
XX 29B 29C 29D 29E 29F 
30A XX 30C 30D 30E XX 
