XX 1 B 1 C XX 1 E 1 F 
2 A 2 B 2 C 2 D XX 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E XX 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D XX 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C XX 12E 12F 
13A XX XX 13D 13E 13F 
14A 14B XX 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
XX 16B XX 16D 16E 16F 
XX 17B 17C 17D 17E 17F 
XX 18B 18C 18D 18E 18F 
19A 19B 19C 19D XX XX 
20A 20B 20C 20D 20E XX 
XX XX 21C 21D XX 21F 
22A 22B 22C 22D XX 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C XX 24E 24F 
25A XX 25C 25D XX 25F 
26A 26B 26C 26D XX 26F 
27A 27B XX 27D 27E XX 
28A 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C XX 30E 30F 
