1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
6A XX 6C XX 6E 6F
7A 7B XX 7D XX 7F
8A 8B 8C 8D XX 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D 11E 11F
12A XX 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A XX 16C 16D XX 16F
XX 17B XX 17D 17E 17F
18A 18B 18C 18D 18E XX
19A 19B 19C XX XX 19F
20A 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D XX 22F
XX 23B 23C 23D 23E XX
24A XX 24C 24D 24E 24F
XX 25B XX XX 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C XX 27E XX
28A 28B XX 28D 28E 28F
XX 29B 29C 29D 29E 29F
XX 30B 30C 30D 30E 30F
