1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C XX 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B XX 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D XX 7F
XX XX 8C 8D XX 8F
XX 9B 9C 9D 9E 9F
XX 10B 10C XX 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A 13B 13C 13D 13E XX
XX 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
XX 16B XX 16D 16E 16F
17A 17B 17C XX 17E XX
18A 18B 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
20A XX 20C XX 20E 20F
21A 21B 21C 21D XX 21F
XX 22B 22C 22D 22E 22F
23A 23B 23C XX XX 23F
24A XX 24C 24D XX XX
25A 25B 25C XX 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B XX 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
