1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
XX 3B XX 3D 3E 3F
4A XX 4C 4D XX 4F
XX 5B 5C 5D XX 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E XX
8A 8B 8C 8D XX 8F
9A XX 9C 9D 9E XX
10A 10B 10C XX 10E XX
11A XX 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A XX 16C 16D XX XX
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
XX 19B 19C 19D XX 19F
XX 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B XX 22D 22E XX
23A 23B XX 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B 26C 26D XX 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A XX 30C 30D 30E 30F
