1A 1B 1C 1D 1E 1F 
2A 2B 2C 2D 2E 2F 
3A 3B 3C 3D 3E 3F 
XX 4B 4C 4D 4E 4F 
XX XX 5C 5D XX 5F 
XX 6B 6C 6D 6E 6F 
7A 7B 7C 7D 7E 7F 
XX 8B 8C 8D 8E XX 
9A 9B 9C 9D 9E XX 
10A 10B 10C 10D 10E 10F 
XX 11B XX 11D 11E 11F 
12A 12B XX 12D 12E 12F 
13A XX 13C 13D 13E XX 
14A 14B 14C XX 14E 14F 
15A XX 15C XX 15E 15F 
XX 16B 16C XX 16E 16F 
17A 17B XX XX 17E 17F 
XX 18B 18C 18D XX 18F 
19A 19B 19C 19D 19E XX 
20A 20B 20C 20D 20E XX 
21A XX 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C XX 23E 23F 
24A XX 24C 24D 24E 24F 
25A 25B XX 25D XX 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E 30F 
