1A 1B 1C 1D 1E 1F
XX 2B 2C XX 2E 2F
3A 3B 3C 3D 3E XX
4A 4B 4C XX 4E 4F
5A 5B 5C 5D XX 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A XX 8C 8D 8E 8F
XX 9B 9C 9D 9E XX
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
XX XX 12C 12D 12E 12F
13A 13B XX 13D XX 13F
14A 14B 14C XX 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
XX 17B XX 17D XX 17F
18A XX XX 18D XX 18F
XX 19B 19C 19D XX XX
20A 20B 20C 20D 20E XX
21A XX 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
XX 26B 26C 26D 26E 26F
27A XX 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A XX 29C 29D XX XX
30A 30B 30C 30D 30E 30F
