1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
7A 7B XX 7D XX 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D XX XX
XX 10B XX XX 10E 10F
11A 11B 11C 11D XX 11F
XX XX 12C 12D 12E 12F
13A 13B XX 13D 13E 13F
XX XX 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
XX 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B 21C 21D 21E XX
22A 22B 22C 22D XX XX
23A 23B XX XX 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A XX XX 26D XX XX
27A 27B 27C 27D XX XX
XX XX 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
