1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B XX 3D 3E 3F
4A 4B 4C 4D 4E XX
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A 8B XX XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D 10E 10F
11A 11B 11C XX 11E XX
12A 12B 12C 12D XX 12F
13A 13B 13C 13D 13E 13F
14A XX XX 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B XX 17D XX 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D XX XX
21A 21B 21C 21D XX 21F
22A 22B 22C 22D 22E 22F
23A 23B XX 23D XX 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B 26C XX 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E XX
30A 30B 30C 30D 30E 30F
