XX 1 B XX 1 D 1 E 1 F 
2 A 2 B XX XX XX 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B XX 5 D 5 E 5 F 
6 A 6 B XX 6 D 6 E 6 F 
7 A 7 B 7 C XX XX 7 F 
8 A XX XX 8 D 8 E 8 F 
9 A 9 B 9 C 9 D XX 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C XX 12E XX 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D XX 17F 
18A 18B 18C 18D 18E XX 
19A XX 19C 19D 19E 19F 
XX 20B 20C 20D XX XX 
XX 21B 21C 21D 21E 21F 
XX XX XX 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A XX 24C 24D XX 24F 
25A 25B 25C XX XX 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E XX 
29A 29B 29C 29D XX 29F 
30A XX 30C 30D 30E 30F 
