1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A XX 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
XX 6B 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
8A 8B 8C 8D XX 8F
9A 9B XX 9D XX 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A XX XX 13D 13E 13F
XX XX XX XX 14E 14F
15A 15B XX XX 15E 15F
16A 16B 16C XX 16E 16F
XX 17B XX 17D 17E 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E XX
23A 23B XX 23D XX XX
XX 24B 24C 24D XX XX
XX 25B XX 25D 25E 25F
26A 26B 26C 26D XX 26F
27A 27B 27C 27D XX XX
28A XX 28C 28D XX 28F
29A 29B XX 29D 29E 29F
30A 30B 30C 30D 30E 30F
