1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E XX 
3 A 3 B 3 C 3 D 3 E 3 F 
XX 4 B 4 C 4 D XX 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B XX 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E XX 
9 A 9 B 9 C 9 D 9 E XX 
10A 10B 10C 10D 10E 10F 
11A 11B XX 11D 11E 11F 
XX 12B 12C 12D XX 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
15A 15B 15C XX XX 15F 
16A 16B 16C 16D XX XX 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B XX 19D 19E 19F 
20A 20B 20C 20D 20E 20F 
21A 21B 21C 21D 21E XX 
XX 22B XX 22D XX 22F 
23A 23B 23C 23D 23E 23F 
24A XX 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
XX XX 26C 26D 26E XX 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D XX 28F 
29A 29B 29C 29D XX 29F 
30A 30B 30C 30D 30E XX 
