1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
XX XX 3C 3D 3E XX
4A XX 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E XX
XX 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E XX
10A XX XX 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B XX 13D 13E 13F
XX 14B 14C XX 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E XX
19A 19B 19C 19D 19E 19F
XX 20B 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D XX 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E XX
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D 30E XX
