1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
3A 3B XX 3D 3E 3F
4A 4B XX 4D 4E 4F
XX XX 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A 9B XX 9D 9E 9F
10A 10B XX 10D 10E 10F
11A XX 11C 11D 11E 11F
12A 12B XX XX 12E 12F
13A 13B XX 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A XX 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A XX 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A XX 20C 20D XX 20F
21A 21B 21C 21D XX 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E XX
24A 24B 24C 24D 24E 24F
25A 25B XX 25D 25E 25F
26A 26B XX 26D 26E 26F
27A XX 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C XX 29E 29F
30A 30B 30C 30D XX 30F
