1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
XX 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
XX 7B 7C 7D XX 7F
8A 8B XX 8D 8E 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D XX 14F
15A XX 15C 15D 15E 15F
16A 16B 16C 16D XX 16F
17A 17B 17C 17D 17E XX
18A 18B 18C 18D 18E XX
19A 19B 19C 19D 19E XX
XX XX 20C 20D XX 20F
XX 21B 21C XX 21E 21F
22A 22B 22C 22D XX 22F
XX XX 23C 23D 23E XX
24A 24B 24C 24D 24E 24F
25A XX 25C 25D 25E 25F
XX 26B 26C XX 26E 26F
XX 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
