1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B XX 5D XX XX
6A 6B 6C 6D 6E 6F
7A 7B XX 7D XX 7F
8A 8B 8C XX 8E 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C XX 12E XX
13A XX 13C 13D 13E 13F
14A XX 14C 14D XX 14F
15A 15B 15C XX 15E 15F
16A 16B 16C 16D XX 16F
17A 17B 17C XX XX XX
18A 18B XX 18D XX 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
XX XX XX 24D 24E 24F
25A 25B XX XX 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C XX 30E 30F
