1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B XX 4 D 4 E 4 F 
5 A 5 B XX 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C XX 7 E 7 F 
XX 8 B 8 C 8 D 8 E 8 F 
XX 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
XX XX XX XX 11E XX 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E XX 
14A XX XX 14D 14E 14F 
15A XX 15C 15D 15E 15F 
16A XX 16C 16D 16E 16F 
XX 17B 17C XX 17E 17F 
18A 18B 18C 18D 18E 18F 
19A XX 19C 19D 19E 19F 
20A 20B 20C 20D 20E 20F 
XX 21B 21C 21D XX 21F 
22A 22B 22C 22D XX 22F 
23A 23B 23C XX 23E 23F 
24A 24B 24C XX 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C XX 26E XX 
XX 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
XX 29B 29C XX 29E 29F 
30A 30B 30C 30D XX 30F 
