1 A 1 B XX 1 D 1 E XX 
XX 2 B XX 2 D 2 E 2 F 
XX XX 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C XX 5 E XX 
6 A 6 B 6 C 6 D 6 E XX 
7 A 7 B 7 C XX 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B XX 11D 11E XX 
12A 12B XX 12D 12E 12F 
XX 13B 13C 13D 13E XX 
14A 14B 14C 14D XX 14F 
15A 15B 15C 15D 15E 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
XX 19B 19C 19D 19E 19F 
20A XX XX 20D 20E 20F 
XX 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E XX 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A 26B 26C 26D XX 26F 
XX 27B 27C 27D XX 27F 
XX 28B XX 28D XX 28F 
29A 29B 29C XX 29E 29F 
30A 30B XX 30D 30E 30F 
