1A 1B 1C 1D 1E 1F
2A XX 2C XX 2E XX
3A XX XX 3D XX 3F
4A XX XX 4D XX 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B XX 9D 9E 9F
XX 10B 10C 10D 10E 10F
11A 11B XX 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E XX
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D XX XX
19A 19B 19C 19D XX XX
20A 20B 20C XX 20E 20F
21A 21B 21C 21D 21E XX
XX 22B 22C 22D XX 22F
23A 23B XX 23D 23E 23F
24A 24B 24C XX 24E XX
25A 25B 25C 25D 25E 25F
26A 26B 26C XX XX 26F
27A 27B XX 27D 27E 27F
28A 28B 28C 28D 28E XX
29A 29B 29C 29D 29E 29F
30A XX 30C 30D 30E XX
