1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX XX
4A XX 4C 4D XX 4F
5A XX 5C 5D XX 5F
6A 6B 6C 6D 6E 6F
XX 7B 7C 7D 7E 7F
8A 8B XX XX 8E 8F
9A XX 9C 9D 9E 9F
10A 10B XX 10D XX 10F
XX 11B 11C 11D XX 11F
12A 12B 12C XX 12E 12F
13A XX 13C XX XX XX
14A 14B 14C 14D XX 14F
15A 15B 15C 15D 15E XX
16A XX 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E XX
19A 19B 19C 19D XX 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A XX 24C XX XX 24F
25A 25B 25C 25D XX XX
26A 26B 26C XX XX 26F
27A 27B 27C 27D 27E XX
XX 28B 28C 28D XX XX
29A XX XX 29D 29E 29F
30A 30B XX 30D XX 30F
