1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
XX 3B 3C 3D XX XX
4A 4B 4C 4D 4E 4F
5A XX 5C 5D XX 5F
6A 6B 6C 6D 6E 6F
7A 7B XX 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D XX 10F
11A 11B 11C 11D 11E XX
12A XX 12C XX 12E 12F
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D XX XX
15A 15B XX 15D 15E 15F
16A 16B 16C 16D 16E XX
17A 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
XX XX XX 19D XX 19F
XX 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
XX 24B 24C 24D 24E 24F
25A 25B XX XX XX 25F
XX XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E XX
XX XX 30C 30D 30E XX
