1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A XX 3C 3D 3E XX
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
XX 6B 6C 6D 6E 6F
XX XX 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A XX 10C 10D 10E 10F
11A XX 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D XX 13F
14A 14B 14C 14D XX XX
15A 15B 15C 15D XX 15F
16A XX 16C XX 16E 16F
17A 17B 17C 17D 17E 17F
18A XX XX 18D 18E 18F
XX 19B XX 19D 19E 19F
20A 20B 20C 20D XX 20F
21A XX 21C 21D XX 21F
22A 22B 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C XX 25E 25F
26A XX 26C XX 26E 26F
XX 27B 27C XX 27E XX
28A 28B 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
XX 30B 30C 30D 30E XX
