1A 1B 1C 1D 1E 1F
2A 2B XX XX 2E 2F
3A 3B XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
XX 6B 6C 6D 6E 6F
XX 7B 7C 7D 7E 7F
8A 8B 8C XX 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B XX 13D XX 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E XX
17A 17B XX 17D 17E 17F
18A XX 18C 18D 18E 18F
19A 19B 19C 19D XX 19F
20A XX 20C 20D 20E 20F
21A XX 21C 21D 21E 21F
XX XX 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
XX 24B 24C XX 24E 24F
25A 25B 25C 25D 25E 25F
26A XX 26C XX 26E XX
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D XX 28F
29A 29B 29C XX 29E 29F
30A 30B 30C 30D XX 30F
