1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B XX 2 D 2 E 2 F 
3 A XX 3 C 3 D 3 E 3 F 
XX 4 B 4 C 4 D 4 E 4 F 
5 A XX 5 C 5 D 5 E 5 F 
XX 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C XX 7 E 7 F 
8 A 8 B XX XX XX 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A XX 12C 12D 12E 12F 
13A 13B 13C XX 13E 13F 
XX 14B XX XX 14E 14F 
15A 15B 15C XX 15E 15F 
16A XX 16C 16D 16E 16F 
17A 17B 17C 17D 17E XX 
18A 18B XX 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A XX 20C 20D 20E XX 
21A 21B 21C 21D 21E 21F 
22A XX 22C 22D 22E 22F 
23A 23B XX 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C XX 25E 25F 
XX 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B 28C 28D 28E 28F 
29A XX 29C XX 29E 29F 
30A 30B XX XX 30E XX 
