1A 1B 1C 1D 1E 1F
XX 2B 2C 2D 2E 2F
XX 3B 3C XX 3E XX
4A 4B 4C 4D 4E XX
XX 5B 5C 5D 5E 5F
6A 6B 6C XX 6E 6F
XX XX XX 7D 7E 7F
8A 8B 8C 8D 8E 8F
XX 9B XX 9D XX 9F
XX 10B 10C 10D XX 10F
11A 11B XX XX 11E 11F
12A 12B 12C XX 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A XX 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D XX 19F
XX XX 20C XX 20E 20F
21A 21B 21C XX 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D XX 24F
25A 25B 25C 25D 25E 25F
26A 26B 26C XX 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX XX 28F
XX 29B 29C XX XX 29F
30A 30B 30C 30D XX 30F
