1 A 1 B 1 C XX 1 E 1 F 
2 A XX 2 C 2 D 2 E 2 F 
3 A XX 3 C XX 3 E 3 F 
4 A XX 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A 6 B 6 C 6 D XX 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E XX 
12A 12B 12C 12D 12E XX 
13A 13B 13C 13D 13E XX 
14A 14B 14C 14D 14E 14F 
15A 15B 15C 15D 15E XX 
16A 16B XX 16D XX 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C XX 18E 18F 
19A 19B XX XX 19E 19F 
20A 20B XX 20D 20E 20F 
21A 21B 21C XX 21E 21F 
22A 22B 22C 22D 22E XX 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D XX XX 
26A 26B 26C XX 26E 26F 
27A XX 27C XX 27E 27F 
28A 28B 28C 28D XX 28F 
29A 29B 29C 29D 29E 29F 
30A XX 30C 30D 30E 30F 
