1 A XX 1 C 1 D 1 E XX 
2 A 2 B 2 C XX 2 E XX 
3 A 3 B 3 C XX 3 E 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C XX 5 E 5 F 
6 A 6 B 6 C 6 D XX 6 F 
7 A 7 B 7 C 7 D 7 E XX 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E XX 
12A XX XX 12D 12E XX 
13A 13B 13C 13D XX 13F 
14A XX 14C 14D XX 14F 
15A 15B 15C 15D XX 15F 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D XX 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C XX 19E 19F 
20A 20B XX 20D XX XX 
XX 21B 21C 21D XX 21F 
XX 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E XX 
XX 24B 24C 24D 24E 24F 
25A 25B 25C 25D XX 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
XX 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E XX 
