1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E 2F
3A 3B 3C XX XX 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E XX
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E XX
10A 10B 10C 10D 10E 10F
11A 11B XX 11D XX XX
12A 12B 12C XX 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B XX 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C XX XX XX
17A 17B 17C 17D XX 17F
18A 18B 18C 18D XX XX
19A XX 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B XX XX 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D XX 23F
XX 24B 24C 24D XX 24F
25A 25B 25C 25D 25E XX
XX 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D 28E XX
29A 29B 29C 29D XX 29F
XX 30B 30C 30D 30E 30F
