XX 1 B 1 C 1 D 1 E 1 F 
XX 2 B XX 2 D 2 E 2 F 
XX 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E XX 
XX 5 B XX 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B XX 7 D 7 E 7 F 
8 A 8 B 8 C XX 8 E XX 
XX 9 B 9 C 9 D XX 9 F 
10A 10B 10C 10D 10E 10F 
XX 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D XX 14F 
15A 15B 15C 15D 15E XX 
16A 16B 16C 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B XX 18D 18E XX 
19A 19B 19C XX XX 19F 
XX 20B 20C 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
XX 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
XX 26B 26C 26D 26E 26F 
27A XX 27C XX 27E 27F 
28A 28B 28C 28D 28E XX 
29A 29B XX XX 29E 29F 
XX 30B 30C 30D 30E 30F 
