1A 1B 1C 1D 1E 1F
2A 2B 2C 2D XX 2F
3A 3B XX XX 3E 3F
4A 4B XX 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
XX 8B 8C 8D 8E 8F
9A 9B XX 9D 9E 9F
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D XX 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D XX 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E XX
17A 17B XX XX 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D XX 19F
20A 20B 20C 20D 20E 20F
21A XX 21C XX 21E XX
XX 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B XX 25D XX 25F
XX 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
