1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B XX 2 D 2 E 2 F 
XX 3 B 3 C 3 D 3 E 3 F 
4 A 4 B 4 C 4 D 4 E XX 
5 A 5 B 5 C 5 D XX 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A XX 7 C 7 D 7 E 7 F 
8 A 8 B 8 C XX 8 E 8 F 
XX 9 B 9 C 9 D 9 E XX 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
XX 12B 12C 12D XX 12F 
13A 13B 13C XX 13E 13F 
14A 14B 14C 14D 14E XX 
15A 15B 15C 15D 15E XX 
16A 16B 16C 16D XX 16F 
17A 17B 17C 17D 17E 17F 
18A XX 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
20A XX 20C 20D XX 20F 
21A 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E 22F 
23A XX 23C 23D 23E 23F 
24A 24B 24C 24D 24E XX 
25A 25B 25C XX 25E 25F 
26A 26B 26C 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
XX 28B 28C 28D 28E XX 
29A 29B 29C 29D 29E 29F 
30A 30B 30C XX 30E XX 
