1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
XX 3B 3C XX 3E 3F
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B XX 9D 9E 9F
XX 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A XX 12C XX 12E XX
XX 13B XX 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E XX
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E XX
18A 18B 18C 18D 18E XX
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E XX
22A 22B 22C 22D XX XX
XX 23B 23C 23D 23E 23F
24A XX 24C 24D XX 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D XX 26F
27A 27B 27C 27D XX 27F
XX 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
