1A 1B 1C 1D 1E 1F
XX 2B XX 2D 2E 2F
3A XX 3C 3D 3E 3F
XX XX 4C 4D 4E XX
5A 5B XX 5D 5E 5F
6A 6B 6C 6D XX 6F
7A 7B 7C 7D 7E 7F
8A XX 8C 8D 8E 8F
9A 9B 9C XX 9E 9F
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B 13C 13D 13E 13F
XX 14B 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
16A 16B XX 16D 16E 16F
17A 17B 17C 17D XX XX
18A 18B XX 18D XX 18F
19A XX 19C XX 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D XX 21F
22A 22B 22C 22D 22E XX
23A 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D XX 25F
XX 26B 26C 26D 26E XX
27A XX 27C 27D 27E XX
XX 28B XX 28D 28E 28F
29A 29B 29C 29D 29E XX
30A 30B 30C 30D 30E 30F
