1A 1B 1C 1D 1E 1F
2A 2B 2C XX 2E XX
3A 3B 3C 3D 3E XX
4A 4B 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
XX 9B 9C XX 9E XX
10A 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A XX 14C XX 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
XX 17B XX 17D XX 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D XX 19F
20A 20B XX 20D 20E 20F
XX XX 21C XX 21E 21F
XX 22B 22C 22D 22E XX
23A XX 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D XX 27F
28A 28B 28C 28D XX 28F
29A 29B 29C XX 29E 29F
30A 30B 30C 30D 30E 30F
