1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C XX XX 3F
4A 4B 4C XX 4E 4F
5A 5B XX 5D XX 5F
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A XX 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
XX 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A 13B XX 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
16A 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX 19C 19D 19E 19F
20A 20B 20C XX 20E 20F
21A XX XX XX 21E 21F
22A 22B 22C 22D XX 22F
23A 23B 23C 23D XX 23F
24A 24B 24C 24D XX 24F
25A 25B 25C XX 25E 25F
26A XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C XX 28E 28F
29A 29B XX 29D 29E XX
30A 30B 30C XX 30E 30F
