1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E XX
6A 6B 6C 6D 6E 6F
XX 7B 7C 7D 7E XX
8A XX XX 8D 8E 8F
9A 9B 9C XX 9E XX
10A 10B 10C 10D XX XX
XX 11B 11C 11D 11E 11F
XX 12B 12C 12D 12E XX
13A 13B 13C XX 13E 13F
XX 14B 14C 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A XX XX 16D XX 16F
17A 17B 17C 17D 17E 17F
18A XX 18C 18D 18E 18F
19A 19B 19C 19D 19E XX
20A 20B 20C XX 20E 20F
21A XX 21C 21D 21E XX
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
XX 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
XX 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
