1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D XX 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C XX 7E 7F
8A 8B XX XX XX 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D XX 10F
XX 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E XX
13A 13B 13C 13D 13E 13F
14A XX XX 14D 14E 14F
XX 15B 15C 15D XX 15F
16A XX 16C 16D 16E 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D 18E XX
19A 19B 19C 19D 19E 19F
20A XX 20C XX 20E 20F
21A 21B 21C 21D 21E XX
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B XX XX 25E 25F
26A 26B XX 26D 26E 26F
27A 27B 27C XX 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
