1A 1B 1C 1D 1E 1F
2A XX 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D XX 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B XX 7D 7E XX
XX 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B 10C 10D 10E 10F
11A XX XX 11D 11E 11F
12A 12B 12C 12D 12E 12F
XX 13B 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A XX 17C XX 17E XX
18A XX XX 18D 18E XX
19A 19B 19C 19D XX 19F
20A 20B 20C 20D 20E 20F
XX 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
XX 24B 24C 24D 24E XX
XX 25B 25C 25D XX 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E XX
