1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A XX 3C XX 3E XX
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C XX XX 6F
7A 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E XX
10A 10B XX 10D 10E 10F
XX 11B XX XX 11E 11F
12A XX 12C 12D 12E XX
13A 13B 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
XX 15B 15C 15D 15E 15F
16A 16B 16C XX XX XX
17A 17B 17C 17D 17E 17F
XX 18B 18C 18D 18E 18F
19A 19B 19C XX 19E 19F
20A 20B 20C 20D XX 20F
21A 21B 21C 21D XX 21F
22A 22B 22C 22D 22E 22F
23A 23B XX 23D 23E 23F
24A 24B 24C 24D 24E 24F
XX 25B 25C 25D 25E 25F
26A 26B XX 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C XX 28E 28F
29A XX XX 29D 29E 29F
30A 30B 30C XX 30E 30F
