1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A XX 4C 4D 4E 4F
5A 5B XX 5D XX 5F
6A 6B 6C 6D 6E 6F
7A 7B XX 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E XX
10A 10B 10C 10D 10E 10F
11A XX 11C 11D 11E 11F
12A 12B 12C 12D XX XX
XX 13B 13C 13D 13E XX
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D XX 15F
XX 16B 16C 16D 16E 16F
XX 17B 17C 17D 17E 17F
18A XX 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D 20E 20F
21A 21B 21C 21D 21E XX
22A 22B 22C 22D XX 22F
XX 23B XX 23D 23E 23F
24A 24B 24C 24D 24E XX
XX 25B 25C 25D XX XX
26A XX XX 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D XX 29F
XX XX 30C 30D XX 30F
