1 A 1 B 1 C XX 1 E 1 F 
2 A XX XX 2 D 2 E 2 F 
XX XX 3 C 3 D 3 E 3 F 
XX 4 B 4 C 4 D XX 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
6 A XX 6 C 6 D 6 E 6 F 
7 A 7 B 7 C XX 7 E 7 F 
8 A 8 B XX 8 D XX XX 
9 A XX 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B XX 12D 12E 12F 
13A XX 13C XX 13E 13F 
14A XX 14C 14D 14E 14F 
15A 15B 15C 15D 15E 15F 
16A 16B XX 16D 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B XX 18D 18E 18F 
19A XX 19C 19D 19E XX 
20A 20B 20C 20D 20E 20F 
21A 21B XX 21D 21E 21F 
22A 22B 22C 22D 22E XX 
23A 23B XX 23D 23E 23F 
24A XX 24C 24D 24E 24F 
25A 25B 25C 25D 25E 25F 
26A XX XX 26D 26E 26F 
27A 27B 27C 27D 27E 27F 
28A 28B XX 28D 28E 28F 
29A 29B 29C 29D XX 29F 
30A 30B 30C XX 30E 30F 
