1A 1B 1C 1D 1E 1F
2A 2B XX 2D XX 2F
3A XX 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C 6D 6E XX
7A 7B 7C 7D 7E XX
XX XX 8C 8D XX 8F
9A 9B 9C XX XX 9F
10A 10B 10C 10D 10E 10F
11A 11B XX 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D XX 13F
14A 14B 14C 14D XX 14F
XX 15B 15C 15D 15E XX
16A 16B XX 16D 16E XX
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B XX 19D 19E 19F
20A 20B XX 20D 20E 20F
21A 21B 21C 21D 21E XX
XX 22B 22C 22D 22E 22F
23A 23B 23C XX 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C XX 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
28A XX 28C XX XX 28F
29A 29B 29C 29D 29E 29F
XX 30B XX 30D 30E 30F
