1 A 1 B 1 C 1 D XX 1 F 
XX 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D XX 3 F 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B XX 5 D XX 5 F 
6 A 6 B XX 6 D XX 6 F 
XX 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A XX 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A 12B 12C 12D 12E XX 
13A XX XX 13D 13E 13F 
14A 14B XX 14D XX 14F 
XX 15B 15C 15D 15E 15F 
16A XX 16C 16D 16E 16F 
17A 17B 17C XX XX XX 
18A 18B 18C 18D XX 18F 
19A 19B 19C 19D 19E 19F 
20A 20B 20C XX 20E 20F 
XX 21B XX 21D 21E 21F 
22A XX 22C 22D 22E 22F 
23A XX 23C 23D XX 23F 
24A 24B 24C 24D 24E 24F 
25A 25B XX XX 25E 25F 
26A 26B 26C 26D 26E 26F 
XX 27B 27C 27D XX 27F 
28A 28B 28C 28D 28E 28F 
29A 29B 29C 29D 29E XX 
30A 30B 30C 30D 30E 30F 
