1A 1B 1C 1D 1E 1F
2A XX 2C 2D XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B XX XX XX 5F
6A 6B 6C 6D 6E XX
7A XX 7C XX XX 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C XX 10E XX
11A XX 11C XX 11E XX
12A 12B 12C XX XX 12F
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E XX
17A 17B 17C 17D 17E 17F
18A 18B XX 18D 18E 18F
19A 19B 19C 19D 19E XX
20A 20B 20C 20D 20E 20F
XX 21B 21C 21D 21E 21F
22A XX 22C 22D 22E 22F
23A 23B 23C 23D XX 23F
24A 24B 24C 24D XX 24F
25A XX XX 25D XX 25F
26A 26B XX XX XX 26F
27A 27B XX 27D XX 27F
28A 28B XX XX 28E 28F
XX XX XX XX 29E 29F
30A 30B 30C 30D 30E 30F
