1A 1B 1C 1D 1E 1F
XX 2B XX 2D XX 2F
3A 3B 3C 3D 3E XX
4A 4B 4C XX 4E 4F
5A 5B XX 5D 5E 5F
6A 6B XX 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
XX 9B 9C XX 9E 9F
10A 10B 10C 10D 10E XX
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B XX XX 13E 13F
14A XX 14C 14D XX 14F
15A 15B 15C 15D XX 15F
XX XX XX 16D XX 16F
17A 17B XX 17D 17E 17F
18A XX XX XX 18E 18F
19A 19B 19C 19D 19E 19F
20A XX 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A XX 24C 24D 24E 24F
25A 25B 25C 25D 25E 25F
XX XX 26C 26D 26E 26F
27A 27B 27C 27D 27E 27F
XX 28B 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
30A XX 30C 30D 30E XX
