1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A XX 3C XX 3E 3F
4A 4B 4C 4D 4E 4F
5A XX 5C XX 5E 5F
6A 6B 6C 6D 6E XX
7A 7B 7C XX 7E XX
8A XX 8C XX 8E 8F
9A 9B 9C 9D 9E XX
10A 10B 10C 10D 10E XX
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B 13C XX 13E 13F
XX 14B 14C 14D 14E XX
15A 15B 15C XX 15E XX
16A XX 16C 16D 16E 16F
17A 17B 17C 17D XX 17F
18A 18B 18C 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A 20B 20C 20D XX XX
21A XX 21C 21D 21E 21F
XX 22B XX 22D XX 22F
XX 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B 25C 25D XX 25F
XX 26B 26C 26D 26E 26F
27A XX 27C XX 27E 27F
28A 28B 28C 28D 28E 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D XX 30F
