1 A 1 B 1 C 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E XX 
3 A 3 B 3 C 3 D 3 E 3 F 
4 A 4 B XX 4 D 4 E 4 F 
5 A 5 B 5 C XX 5 E 5 F 
6 A 6 B 6 C 6 D XX 6 F 
7 A 7 B 7 C 7 D XX 7 F 
XX 8 B 8 C 8 D XX 8 F 
9 A XX XX XX 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C XX 11E 11F 
12A XX 12C XX 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
15A XX 15C 15D 15E 15F 
16A 16B 16C XX 16E 16F 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D XX 18F 
19A 19B 19C 19D 19E XX 
20A XX 20C 20D XX 20F 
XX 21B 21C 21D 21E 21F 
22A 22B XX 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D XX 24F 
XX 25B 25C 25D 25E 25F 
XX XX 26C 26D XX 26F 
27A 27B XX XX 27E XX 
28A 28B 28C XX 28E XX 
29A 29B 29C XX 29E 29F 
30A 30B 30C 30D 30E 30F 
