1 A 1 B 1 C 1 D XX XX 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A 3 B 3 C 3 D 3 E XX 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B 5 C 5 D 5 E 5 F 
XX 6 B 6 C 6 D XX 6 F 
XX 7 B 7 C 7 D 7 E 7 F 
8 A 8 B 8 C 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E 9 F 
10A 10B 10C 10D 10E 10F 
11A 11B 11C 11D 11E 11F 
12A XX 12C 12D XX 12F 
XX XX XX 13D 13E 13F 
14A 14B 14C XX XX 14F 
15A 15B 15C 15D 15E XX 
16A 16B XX 16D XX XX 
17A 17B 17C 17D 17E 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C 19D 19E 19F 
XX 20B XX 20D 20E 20F 
21A 21B 21C 21D 21E 21F 
22A 22B 22C 22D 22E XX 
23A 23B 23C 23D 23E 23F 
24A 24B 24C XX 24E 24F 
XX 25B 25C 25D 25E XX 
26A XX 26C 26D 26E 26F 
27A XX 27C 27D 27E XX 
28A 28B XX 28D 28E XX 
29A 29B 29C 29D 29E 29F 
XX 30B 30C 30D 30E 30F 
