1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E XX
3A 3B 3C 3D 3E 3F
4A 4B 4C XX 4E 4F
5A 5B 5C 5D 5E 5F
6A 6B 6C 6D 6E 6F
7A 7B 7C XX XX 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D XX 9F
XX 10B 10C 10D 10E 10F
11A 11B 11C 11D 11E 11F
12A 12B XX 12D 12E 12F
13A 13B 13C 13D 13E XX
14A 14B XX 14D 14E 14F
15A 15B 15C 15D 15E 15F
XX XX XX 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A XX 19C XX XX 19F
20A 20B 20C XX 20E 20F
21A 21B 21C 21D 21E 21F
22A 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
24A 24B 24C XX XX 24F
25A 25B 25C 25D 25E XX
26A 26B 26C 26D 26E 26F
XX 27B 27C 27D 27E 27F
XX XX 28C 28D 28E 28F
29A 29B 29C XX XX 29F
30A 30B 30C 30D 30E 30F
