XX 1 B XX 1 D 1 E 1 F 
2 A 2 B 2 C 2 D 2 E 2 F 
3 A XX 3 C 3 D 3 E XX 
4 A 4 B XX 4 D 4 E 4 F 
5 A 5 B 5 C 5 D XX 5 F 
6 A 6 B 6 C XX 6 E 6 F 
7 A XX 7 C 7 D 7 E 7 F 
8 A 8 B 8 C XX 8 E 8 F 
9 A 9 B 9 C XX 9 E 9 F 
10A 10B 10C 10D 10E 10F 
XX 11B 11C 11D XX 11F 
12A 12B 12C 12D 12E 12F 
13A 13B 13C 13D 13E 13F 
14A 14B 14C 14D 14E 14F 
15A XX 15C 15D 15E XX 
16A 16B 16C XX XX 16F 
17A 17B 17C 17D 17E 17F 
18A XX 18C 18D 18E 18F 
19A 19B XX XX 19E 19F 
20A 20B 20C XX 20E 20F 
21A 21B 21C XX 21E 21F 
22A 22B 22C 22D 22E 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C XX 25E 25F 
XX 26B 26C XX 26E 26F 
27A XX 27C 27D 27E XX 
28A XX 28C XX 28E XX 
29A 29B 29C 29D 29E XX 
30A 30B 30C 30D 30E 30F 
