1 A 1 B 1 C 1 D 1 E XX 
2 A 2 B 2 C XX XX 2 F 
3 A XX 3 C XX 3 E XX 
4 A 4 B 4 C 4 D 4 E 4 F 
5 A 5 B XX 5 D 5 E 5 F 
6 A 6 B 6 C 6 D 6 E 6 F 
7 A 7 B 7 C 7 D 7 E 7 F 
8 A 8 B XX 8 D 8 E 8 F 
9 A 9 B 9 C 9 D 9 E XX 
10A 10B 10C 10D 10E 10F 
XX 11B 11C 11D 11E 11F 
XX 12B 12C 12D 12E XX 
13A 13B 13C 13D 13E 13F 
14A 14B 14C XX 14E 14F 
XX 15B 15C 15D 15E 15F 
XX 16B 16C 16D 16E 16F 
17A 17B 17C 17D XX 17F 
18A 18B 18C 18D 18E 18F 
19A 19B 19C XX 19E 19F 
20A 20B 20C 20D 20E 20F 
21A XX 21C 21D 21E 21F 
22A 22B 22C 22D XX 22F 
23A 23B 23C 23D 23E 23F 
24A 24B 24C 24D 24E 24F 
25A 25B 25C 25D 25E XX 
26A 26B 26C 26D 26E 26F 
27A 27B XX 27D 27E XX 
28A 28B 28C 28D 28E 28F 
XX 29B 29C 29D 29E 29F 
30A 30B 30C 30D 30E XX 
