1A 1B 1C 1D 1E 1F
XX 2B XX 2D 2E XX
3A XX XX 3D 3E 3F
4A 4B 4C 4D 4E 4F
XX XX XX 5D 5E 5F
6A 6B 6C 6D 6E 6F
XX 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C XX 10E 10F
11A 11B 11C 11D XX 11F
12A 12B XX 12D 12E 12F
13A 13B 13C XX 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
16A 16B 16C 16D XX 16F
17A XX 17C 17D 17E 17F
18A 18B 18C 18D XX 18F
19A XX 19C 19D 19E 19F
XX 20B 20C XX XX 20F
21A 21B 21C 21D XX 21F
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A 24B XX 24D 24E 24F
25A 25B XX 25D 25E 25F
XX 26B 26C 26D 26E 26F
XX 27B 27C 27D XX 27F
28A 28B 28C 28D 28E XX
29A 29B 29C 29D 29E 29F
30A 30B XX 30D 30E 30F
