1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C XX 3E 3F
4A XX 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
6A 6B XX 6D 6E XX
7A XX 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D XX 9F
10A 10B 10C 10D 10E 10F
11A XX 11C XX 11E XX
XX 12B 12C 12D 12E 12F
XX 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D 16E 16F
17A 17B 17C 17D 17E 17F
18A 18B 18C XX 18E 18F
19A 19B 19C 19D 19E 19F
XX 20B 20C 20D 20E XX
21A 21B 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
23A XX 23C 23D 23E 23F
24A 24B 24C 24D 24E XX
25A 25B 25C 25D 25E 25F
26A 26B 26C 26D 26E 26F
27A 27B XX 27D 27E 27F
XX 28B 28C XX 28E XX
29A 29B 29C 29D XX 29F
30A 30B 30C 30D XX XX
