1A 1B 1C 1D 1E 1F
2A 2B 2C XX XX 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C 6D 6E 6F
7A XX 7C 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
XX 10B XX 10D XX 10F
11A 11B 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D XX XX
XX 14B XX 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C XX 16E XX
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
XX 19B 19C 19D 19E 19F
20A 20B XX 20D 20E 20F
21A XX 21C 21D 21E 21F
XX 22B 22C 22D 22E 22F
XX 23B 23C 23D 23E 23F
24A 24B 24C 24D 24E 24F
25A 25B 25C 25D 25E XX
26A 26B XX 26D 26E 26F
27A 27B 27C 27D XX 27F
XX 28B 28C 28D 28E XX
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D XX XX
