1A 1B 1C 1D 1E 1F
2A 2B XX 2D 2E 2F
3A 3B 3C 3D XX 3F
4A 4B 4C 4D 4E 4F
5A 5B XX 5D 5E 5F
6A XX 6C 6D 6E 6F
7A 7B 7C 7D 7E 7F
8A 8B XX 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B 10C 10D 10E 10F
11A XX 11C 11D 11E 11F
12A 12B 12C 12D 12E 12F
13A XX 13C 13D 13E 13F
14A XX 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
XX 16B XX 16D XX XX
17A 17B 17C 17D 17E 17F
18A 18B 18C 18D 18E 18F
19A 19B XX 19D XX 19F
XX 20B 20C 20D 20E 20F
XX 21B 21C 21D XX 21F
XX 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A XX 24C 24D XX XX
XX XX 25C 25D 25E 25F
26A 26B XX XX 26E 26F
XX 27B 27C XX 27E XX
28A XX 28C 28D XX 28F
29A 29B 29C 29D 29E 29F
30A 30B 30C 30D 30E 30F
