1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D XX 3F
XX 4B XX 4D 4E 4F
5A 5B 5C XX 5E 5F
6A 6B 6C 6D 6E XX
7A 7B 7C 7D 7E 7F
8A 8B 8C 8D XX 8F
9A XX 9C 9D 9E 9F
XX 10B 10C 10D 10E XX
11A 11B 11C XX 11E 11F
12A 12B 12C 12D 12E 12F
13A 13B 13C 13D 13E 13F
14A 14B 14C 14D 14E 14F
15A 15B 15C 15D 15E 15F
16A 16B 16C 16D XX 16F
17A 17B 17C XX 17E XX
18A 18B 18C XX 18E 18F
19A 19B 19C 19D 19E 19F
XX 20B 20C 20D XX 20F
21A XX 21C XX 21E 21F
22A 22B 22C 22D XX 22F
23A 23B 23C 23D 23E 23F
24A 24B 24C XX 24E 24F
25A 25B XX 25D 25E 25F
26A 26B XX 26D 26E XX
27A 27B 27C 27D XX 27F
28A XX 28C XX 28E XX
XX 29B 29C 29D XX 29F
XX XX 30C 30D 30E 30F
