1A 1B 1C 1D 1E 1F
2A 2B 2C 2D 2E 2F
3A 3B 3C 3D 3E 3F
4A 4B 4C 4D 4E 4F
5A 5B 5C 5D 5E XX
XX 6B XX 6D 6E XX
7A XX XX 7D 7E 7F
8A 8B 8C 8D 8E 8F
9A 9B 9C 9D 9E 9F
10A 10B XX 10D 10E XX
11A 11B 11C 11D XX 11F
12A 12B XX 12D 12E 12F
13A 13B 13C 13D 13E XX
14A 14B 14C 14D 14E 14F
15A 15B 15C XX 15E 15F
XX 16B 16C 16D 16E XX
17A 17B 17C 17D 17E 17F
XX 18B XX 18D 18E 18F
19A 19B 19C 19D 19E 19F
20A XX 20C 20D 20E 20F
21A 21B XX 21D 21E XX
22A 22B 22C 22D 22E 22F
23A 23B 23C 23D 23E 23F
24A XX 24C 24D 24E 24F
25A XX XX 25D XX 25F
26A 26B 26C 26D 26E 26F
27A 27B 27C 27D 27E XX
28A 28B 28C XX 28E 28F
XX XX 29C 29D 29E 29F
XX 30B 30C 30D 30E 30F
